,electric_load,electric_load,electric_load,electric_load,heat_load,heat_load,heat_load,heat_load,solar_available,solar_available,solar_available,solar_available,wind_available,wind_available,wind_available,wind_available,temperature,temperature,temperature,temperature,cop_ashp_radiator,cop_ashp_radiator,cop_ashp_radiator,cop_ashp_radiator
,p25,median,p75,mean,p25,median,p75,mean,p25,median,p75,mean,p25,median,p75,mean,p25,median,p75,mean,p25,median,p75,mean
month,,,,,,,,,,,,,,,,,,,,,,,,
1,6.8104359824111205,7.8585797366826124,9.103889153954272,7.850773422432277,6.945910692935967,8.888343702140716,10.48968729487903,8.814058636623736,0.0,0.0,0.15023936568094548,0.1419786116896561,0.5999206919604775,1.3622427644199107,2.383356237492132,1.517118162784372,-2.6069999999999998,0.5115000000000001,2.80825,-0.06432213261648746,2.43,2.73,2.98,2.7064560931899644
2,6.810951785322827,7.869282647100542,8.979999742098544,7.841290296846622,6.472738863485441,8.09797395096015,10.316426995336503,8.333290510830665,0.0,0.0,0.5491899793669481,0.37207987497768513,0.6615631819557496,1.193565073513022,1.7862934795157175,1.3215589467509878,-1.9875,0.7925,3.36125,0.9110014880952381,2.52,2.75,3.08,2.813363095238095
3,6.535674218880965,7.583012031102915,8.689086899895548,7.549303952626366,4.7200215698576695,6.111557941855799,7.555932084942577,6.365423239724908,0.0,0.008000217614592445,0.9295463439425717,0.552907510348917,0.6751738066549495,1.2614633878661805,2.213296272669279,1.4655654158836846,2.256,4.9864999999999995,7.723000000000001,4.952233422939068,2.93,3.21,3.51,3.2010663082437274
4,6.0005286979845,6.797121819752672,8.205779571625682,7.00851170323375,2.3833574949324237,3.7374335762945723,5.372694000274413,4.004780269021017,0.0,0.1834196926367571,1.6640839251750563,0.8651293164881032,0.4984432828972235,0.9980191881957159,1.547066602766391,1.0975557621181358,5.92075,9.104,12.754999999999999,9.485024537037036,3.27,3.61,3.95,3.565125
5,5.984506570039588,6.760886665205224,8.172574759184515,6.978339420593413,1.2018274128735982,1.9699795742180082,3.489913692075029,2.4893286252514537,0.0,0.3954124108468405,1.8853382509528476,0.9780913968776825,0.4590352191863299,0.7447399847581335,1.2004902357993679,0.8431274068562127,9.80525,13.3885,17.58975,13.662349462365592,3.7,3.99,4.05,3.833463261648745
6,5.941179125456163,6.836580742498291,8.21590220376794,6.9883249443720885,0.7551273488015945,1.005530397502061,1.310102026779764,1.0616485464669245,0.00013210326222422116,0.5378532568352825,2.093449858157433,1.0632806978976277,0.3614672659361809,0.6589958381589637,1.084230990425219,0.8153168039342299,15.26675,18.4065,21.937,18.729479166666668,4.04,4.06,4.06,4.031949074074074
7,5.9380843079859185,6.933358263807399,8.159550735663903,6.984299983116236,0.6900422213029226,0.9443863842007963,1.2678510825358573,1.001109666496845,0.0,0.46815676116797134,1.9112261870353338,1.0012027893650504,0.30083629185286437,0.5726177878696121,0.91874676223879,0.6551940457226071,16.203,19.407,23.279,19.835515232974913,4.05,4.06,4.06,4.04155017921147
8,5.823833963042721,6.847025751460366,7.976537415053707,6.862916964374149,0.7051329208852514,0.95024030989613,1.2533884177742816,0.9986586829472416,0.0,0.2850824074836291,1.775194778354483,0.8923742308588215,0.3283805505353856,0.5566337519134325,0.9317040738527275,0.6895669170641195,16.0335,19.2575,23.00725,19.643215501792113,4.05,4.06,4.06,4.039574372759857
9,5.90842564056274,6.872364569497994,8.157971089246798,6.978752263204673,1.2477807890135098,1.8017555463514114,2.604665592565724,2.0379155546161405,0.0,0.04839481555333998,1.3248358294726716,0.670799921745824,0.3865238645017072,0.6964675732792384,1.3158373665402754,0.9355482077813047,11.258,14.148,17.3885,14.501957407407406,3.84,4.02,4.05,3.9080648148148147
10,6.132638718745567,7.135166153012934,8.429670272988691,7.205880317270555,2.077564681408698,2.9849267035768543,4.278242738389421,3.3088076784236526,0.0,0.0,0.7287745236754142,0.4283023707783963,0.6578306278492004,1.2607924891685849,1.9103963379930022,1.3550953202244131,8.32,10.616,13.262,10.962785842293906,3.55,3.8,4.0,3.722461917562724
11,6.565139460212253,7.6060297360378595,8.892925763065932,7.650911872684557,4.875341075739087,6.362619263465659,8.140121013377792,6.480287539199716,0.0,0.0,0.25355514990117123,0.18325728038682426,0.5664400396374722,1.0490761761029348,1.750089709341733,1.2065338008298112,2.2155,4.2875,6.99525,4.669818518518519,2.9,3.09,3.39,3.157625
12,6.349759506892416,7.179976530967517,8.677287908290243,7.373798487726871,5.889348916702521,7.480054928005757,9.17946021524724,7.4923638000990325,0.0,0.0,0.10570319375086226,0.11158843252199308,0.9443836345467586,1.6464403367906173,2.4118581228617995,1.6929398772959616,0.35524999999999995,2.2184999999999997,4.731,2.566814068100358,2.71,2.93,3.2,2.9683019713261647
