method,scenario,spearman_corr,mean_score_safe,mean_score_unsafe,unsafe_rate,auroc,auprc
mahalanobis,efficiency_drop,0.2029461525790699,5.3552691133029455,5.713144988415135,0.5069444444444444,0.5330407100135057,0.5485004191709659
mahalanobis,expert,0.16735190244903206,3.660551795365367,3.8589893218798337,0.48310185185185184,0.5396027398406659,0.5602285641341853
mahalanobis,load_up,0.3119662102541294,5.235468760710336,6.094851643865497,0.6666666666666666,0.5671549479166667,0.7380739063431083
mahalanobis,mixed,0.20024986072166223,4.841007047838207,5.267557389919865,0.5055555555555555,0.5341650975429066,0.5526894923045043
mahalanobis,poor,-0.139200021715047,8.449554591449921,6.063698774564857,0.38449074074074074,0.3413472674336067,0.28959690885878436
knn,efficiency_drop,0.16602576978366076,0.6395265762491362,0.6709745426893728,0.5069444444444444,0.5343005981092033,0.5275483993086943
knn,expert,0.30772651645278654,0.2609434262184942,0.37136703056834625,0.48310185185185184,0.6459941921832442,0.6464941210950977
knn,load_up,0.16347677800921823,0.6736190815589647,0.6696638129467296,0.6666666666666666,0.512890625,0.6689042420512725
knn,mixed,0.1616690125281716,0.6319735723605691,0.661068214965562,0.5055555555555555,0.5322570687739226,0.5238593216593164
knn,poor,-0.10252966225861605,1.0194928444833917,0.8723851318385988,0.38449074074074074,0.37546311086879297,0.30880090607242966
