scenario,episode,raw_hard_safety_cost,raw_soft_operation_cost,projected_hard_safety_cost,projected_soft_operation_cost,mean_projection_distance_l2
in_distribution,0,281.48704787854626,0.0,0.0,58.51295212145372,2.06532351175944
in_distribution,1,301.4485736711333,0.0,0.0,53.92422167418029,2.1633087793986
in_distribution,2,307.69406157068846,0.0,0.0,64.87873377462516,2.2939558029174805
in_distribution,3,403.9158503295497,0.0,0.0,32.904518911209934,2.7651069263617196
in_distribution,4,340.91517770380335,0.0,0.0,66.07639077847485,2.5552498499552407
in_distribution,5,348.95860436256817,0.0,0.0,58.182411734784715,2.5552498499552407
load_up,0,305.71010506032815,0.0,0.0,62.56269028498541,2.2612940470377603
load_up,1,328.6658597218033,0.0,0.0,78.32570876047485,2.5552498499552407
load_up,2,335.84817080629165,0.0,0.0,71.14339767598648,2.5552498499552407
load_up,3,459.8193868903828,0.0,0.16443653724299878,35.61931258226082,3.0405113796393075
load_up,4,383.679388629819,0.0,0.0,40.84910412290437,2.612772007783254
load_up,5,394.2642629885965,0.0,0.0,37.871028222660705,2.6578639646371207
efficiency_drop,0,281.48704787854626,0.0,0.0,58.51295212145372,2.06532351175944
efficiency_drop,1,301.4485736711333,0.0,0.0,53.92422167418029,2.1633087793986
efficiency_drop,2,307.69406157068846,0.0,0.0,64.87873377462516,2.2939558029174805
efficiency_drop,3,403.9158503295497,0.0,0.0,32.904518911209934,2.7651069263617196
efficiency_drop,4,340.91517770380335,0.0,0.0,66.07639077847485,2.5552498499552407
efficiency_drop,5,348.95860436256817,0.0,0.0,58.182411734784715,2.5552498499552407
