scenario,transitions,mean_ood_score,p90_ood_score,mean_hard_safety_cost,spearman_corr,mean_score_safe,mean_score_unsafe,unsafe_rate,auroc,auprc
all,2880,3.29418609821604,4.118616840800014,0.048815892165557304,0.044971899072225985,3.330444402209783,1.8386741807529303,0.024305555555555556,0.7076207422470767,0.037654055484873765
cold_wave,288,3.265649336785645,4.419056133202153,0.0133666449510364,0.1153970668532688,3.291407067954294,1.4368504238115403,0.013888888888888888,0.658450704225352,0.023962008120379467
cold_wave_extreme,288,3.5375722129120404,5.176558951500398,0.15414987223306842,0.06733326607618996,3.687882871659723,1.6264795516915118,0.07291666666666667,0.6548956661316212,0.09764555411341393
compound_extreme,288,3.6251087577539685,4.415728272721031,0.2595925801778436,0.1641678670796278,3.790141601738195,2.092660920757585,0.09722222222222222,0.7015109890109891,0.14370794071552967
compound_stress,288,3.2012428423532944,3.7557990383972073,0.0133666449510364,0.10419390218270531,3.2227465964684563,1.6744763001768015,0.013888888888888888,0.7086267605633803,0.028086121836121837
equipment_degradation,288,3.1846010730335115,4.532265514748951,3.6962947684108606e-08,-0.034950400206800375,3.1846010730335115,0.0,0.0,0.5,0.0
in_distribution,288,3.031865293197362,3.2992577076571292,3.6962947684108606e-08,-0.030479888576284177,3.031865293197362,0.0,0.0,0.5,0.0
load_up_10,288,3.1841799215580457,3.2930647564897826,3.19208210512271e-08,0.031227675010939062,3.1841799215580457,0.0,0.0,0.5,0.0
load_up_20,288,3.3726814354215984,3.5104033983286955,0.0050474315873010695,0.06271532168991203,3.3889163733118934,1.8303623358435974,0.010416666666666666,0.7309941520467836,0.024664806634116097
load_up_35,288,3.7067048467286776,3.6722485452084928,0.042635604945623067,0.07400799800196266,3.775218609623641,1.8020222382486861,0.034722222222222224,0.6683453237410071,0.05199026185855603
renewable_down_20,288,2.832255262416256,2.898732840076921,3.6962947684108606e-08,-0.03472111585552151,2.832255262416256,0.0,0.0,0.5,0.0
