scenario,family,description,electric_load_mw_relative_change,electric_load_mw_mean_before,electric_load_mw_mean_after,heat_load_mw_th_relative_change,heat_load_mw_th_mean_before,heat_load_mw_th_mean_after,pv_available_mw_relative_change,pv_available_mw_mean_before,pv_available_mw_mean_after,wind_available_mw_relative_change,wind_available_mw_mean_before,wind_available_mw_mean_after,cop_ashp_radiator_relative_change,cop_ashp_radiator_mean_before,cop_ashp_radiator_mean_after,temperature_c_relative_change,temperature_c_mean_before,temperature_c_mean_after,mean_absolute_relative_change
in_distribution,baseline,No perturbation; evaluates the reference climate-load regime.,0.0,7.81643730244776,7.81643730244776,0.0,7.704401845896845,7.704401845896845,0.0,0.2812752097894431,0.2812752097894431,0.0,1.6887183184021903,1.6887183184021903,0.0,2.9529754273504274,2.9529754273504274,0.0,2.4192200854700854,2.4192200854700854,0.0
load_up_10,load,Electric and heat demand increase by 10%.,0.10000000000000009,7.81643730244776,8.598081032692537,0.10000000000000009,7.704401845896845,8.474842030486531,0.0,0.2812752097894431,0.2812752097894431,0.0,1.6887183184021903,1.6887183184021903,0.0,2.9529754273504274,2.9529754273504274,0.0,2.4192200854700854,2.4192200854700854,0.03333333333333336
load_up_20,load,Electric and heat demand increase by 20%.,0.19999999999999996,7.81643730244776,9.379724762937313,0.19999999999999996,7.704401845896845,9.245282215076214,0.0,0.2812752097894431,0.2812752097894431,0.0,1.6887183184021903,1.6887183184021903,0.0,2.9529754273504274,2.9529754273504274,0.0,2.4192200854700854,2.4192200854700854,0.06666666666666665
renewable_down_20,renewable,PV and wind availability decrease by 20%.,0.0,7.81643730244776,7.81643730244776,0.0,7.704401845896845,7.704401845896845,0.09134615384615381,0.2812752097894431,0.22502016783155449,0.19999999999999996,1.6887183184021903,1.3509746547217523,0.0,2.9529754273504274,2.9529754273504274,0.0,2.4192200854700854,2.4192200854700854,0.048557692307692295
cold_wave,weather,"Cold wave with higher heat demand, lower ASHP COP, and lower temperature.",0.0,7.81643730244776,7.81643730244776,0.25,7.704401845896845,9.630502307371058,0.0,0.2812752097894431,0.2812752097894431,0.0,1.6887183184021903,1.6887183184021903,0.15000000000000005,2.9529754273504274,2.510029113247863,9.527638664868027,2.4192200854700854,-5.5807799145299155,1.6546064441446713
equipment_degradation,equipment,Heat-pump COP degradation and lower effective renewable availability.,0.0,7.81643730244776,7.81643730244776,0.0,7.704401845896845,7.704401845896845,0.045673076923076907,0.2812752097894431,0.25314768881049876,0.09999999999999999,1.6887183184021903,1.519846486561971,0.19999999999999998,2.9529754273504274,2.362380341880342,0.0,2.4192200854700854,2.4192200854700854,0.057612179487179484
compound_stress,compound,"Simultaneous demand increase, renewable reduction, and COP degradation.",0.1499999999999999,7.81643730244776,8.988902897814922,0.25,7.704401845896845,9.630502307371058,0.1141826923076923,0.2812752097894431,0.21095640734208232,0.19999999999999996,1.6887183184021903,1.3509746547217523,0.15000000000000005,2.9529754273504274,2.510029113247863,5.954774165542517,2.4192200854700854,-2.5807799145299146,1.1364928096417015
load_up_35,load_extreme,Stress-test demand increase by 35% to probe hard-safety boundary.,0.35000000000000003,7.81643730244776,10.552190358304477,0.3500000000000001,7.704401845896845,10.400942491960741,0.0,0.2812752097894431,0.2812752097894431,0.0,1.6887183184021903,1.6887183184021903,0.0,2.9529754273504274,2.9529754273504274,0.0,2.4192200854700854,2.4192200854700854,0.1166666666666667
cold_wave_extreme,weather_extreme,Severe cold wave with 50% heat demand increase and COP degradation.,0.0,7.81643730244776,7.81643730244776,0.5,7.704401845896845,11.55660276884527,0.0,0.2812752097894431,0.2812752097894431,0.0,1.6887183184021903,1.6887183184021903,0.25,2.9529754273504274,2.2147315705128205,14.291457997302043,2.4192200854700854,-9.580779914529915,2.506909666217007
compound_extreme,compound_extreme,"Stress-test compound drift combining high load, low renewables, and low COP.",0.3000000000000001,7.81643730244776,10.161368493182087,0.6000000000000002,7.704401845896845,12.327042953434953,0.18269230769230768,0.2812752097894431,0.16876512587366582,0.35,1.6887183184021903,1.0976669069614238,0.25,2.9529754273504274,2.2147315705128205,14.291457997302043,2.4192200854700854,-9.580779914529915,2.6623583841657252
