method,scenario,risk_score,raw_hard_safety_cost,projected_hard_safety_cost,projected_soft_operation_cost,mean_projection_distance_l2,mean_solve_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate,hard_safety_reduction_pct
adaptive_safety,cold_wave_extreme,3.5375722129120404,425.45457504371916,10.392406221762851,13.333317904203133,2.6810905908544855,178.46690104166692,1.0,0.0,1.0,0.0,97.55734058784186
adaptive_safety,compound_extreme,3.625108757753969,465.1903238320667,15.922002367153986,10.308226164095633,2.7450521240631742,171.89816562500033,1.0,0.0,1.0,0.0,96.57731436974132
adaptive_safety,in_distribution,3.031865293197362,312.6943153060922,2.634242664001363e-07,12.590567436160761,2.0499935932457447,166.14292604166653,1.0,0.0,1.0,0.0,99.99999991575662
adaptive_safety,load_up_20,3.3726814354215984,364.36366003497534,0.2942034143496781,16.8791387534261,2.3007962020734944,170.01350729166657,1.0,0.0,1.0,0.0,99.91925555519958
fixed_safety,cold_wave_extreme,3.5375722129120404,425.45457504371916,10.392406216904375,17.25750787067575,2.723042421042919,58.48592291666706,1.0,0.0,0.0,1.0,97.5573405889838
fixed_safety,compound_extreme,3.625108757753969,475.8707319360824,15.92200221024147,7.426823017964924,2.7474122643470764,58.54079999999976,1.0,0.0,0.0,1.0,96.65413291011558
fixed_safety,in_distribution,3.031865293197362,324.2207902222556,2.8532091556066064e-07,21.146561800243507,2.2174708234767118,51.989662499999966,1.0,0.0,0.0,1.0,99.99999991199795
fixed_safety,load_up_20,3.3726814354215984,371.6543924388509,0.36341336153953185,30.71106758470119,2.529345088948806,59.044779166666544,1.0,0.0,0.0,1.0,99.9022173909597
no_safety,cold_wave_extreme,3.5375722129120404,314.7219054946987,314.7219054946987,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
no_safety,compound_extreme,3.625108757753969,335.17737406577993,335.17737406577993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
no_safety,in_distribution,3.031865293197362,212.90371381345904,212.90371381345904,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
no_safety,load_up_20,3.3726814354215984,253.63099048595484,253.63099048595484,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
