method,mean_decision_time_ms,mean_projection_distance_l2,intervention_rate
bc,0.29671875000002457,0.0,0.0
cql,0.25820895833344276,0.0,0.0
cql_adaptive_safety,234.60922541666673,0.304766641324386,0.5583333333333333
cql_fixed_safety,225.3815129166677,0.40099749399038653,0.55625
cql_ood_warning,0.25940666666672463,0.0,0.0
iql,0.2667210416670211,0.0,0.0
iql_adaptive_safety,222.02988499999896,0.35813084416246665,0.6270833333333333
iql_fixed_safety,204.94919374999796,0.46777370131264134,0.6270833333333333
iql_ood_warning,0.2661247916647606,0.0,0.0
perfect_information_lp,0.37051250000001235,0.0,0.0
rolling_mpc,8.058168749999941,0.0,0.0
rule_based,0.20001666666667287,0.0,0.0
td3_bc,0.25354458333330204,0.0,0.0
