algorithm,seed,dataset,train_time_s,steps
bc,0,all,0.6799403999999996,80
bc,1,all,0.13405619999999985,80
bc,2,all,0.1308114000000007,80
bc,3,all,0.1516856999999998,80
bc,4,all,0.1258922999999994,80
td3_bc,0,all,0.37544220000000017,80
td3_bc,1,all,0.3570525,80
td3_bc,2,all,0.3711164,80
td3_bc,3,all,0.3747125000000011,80
td3_bc,4,all,0.3933309000000005,80
cql,0,all,0.4905267999999996,80
cql,1,all,0.5285261999999946,80
cql,2,all,0.5424791000000084,80
cql,3,all,0.49310980000001337,80
cql,4,all,0.5231939999999895,80
iql,0,all,0.5592240000000004,80
iql,1,all,0.4905356000000438,80
iql,2,all,0.6560526999999752,80
iql,3,all,0.5630633000000103,80
iql,4,all,0.4936896000000388,80
