method,scenario,max_hard_safety_cost,cvar90_hard_safety_cost,cvar90_episode_cost_eur,infeasible_episode_rate
bc,cold_wave_extreme,76.89317516981488,76.89317516981488,629055.4373021384,1.0
bc,compound_extreme,94.89133763728604,94.89133763728604,780210.6068451112,1.0
bc,in_distribution,10.564597963541711,10.564597963541711,97528.0853065463,1.0
bc,load_up_20,37.07326698846656,37.07326698846656,312641.17470422067,1.0
cql,cold_climate_zone,56.854841829381044,56.854841829381044,476701.2276947928,1.0
cql,cold_wave_device_fault,106.44019579763562,106.44019579763562,879696.6290241198,1.0
cql,cold_wave_extreme,58.798836587056094,58.798836587056094,485180.39081796975,1.0
cql,compound_extreme,73.29592317535578,73.29592317535578,608418.6652382533,1.0
cql,in_distribution,2.373213338017352,2.373213338017352,32887.371231047524,0.8
cql,load_up_20,20.086464918297786,20.086464918297786,177352.99103359657,1.0
cql,price_spike_low_renewable,6.440392755316767,6.440392755316767,92823.10185077877,1.0
cql,shoulder_season,0.0,0.0,21292.708939374115,0.0
cql,summer_peak,0.0,0.0,22014.366657063732,0.0
cql,three_day_low_renewable,51.373734268392,51.373734268392,438024.5095207557,1.0
cql,warm_low_solar_zone,0.0,0.0,23620.396026403556,0.0
cql,year_2017_winter,51.97025449152885,51.97025449152885,443649.50022708747,1.0
cql,year_2018_winter,26.603302180951268,26.603302180951268,232912.8852537655,1.0
cql,year_2019_winter,5.588526442991766,5.588526442991766,65580.06537855536,1.0
cql_adaptive_safety,cold_climate_zone,0.0,0.0,24462.210040012178,0.0
cql_adaptive_safety,cold_wave_device_fault,2.8540837249124706e-07,2.8540837249124706e-07,32847.61322824747,0.0
cql_adaptive_safety,cold_wave_extreme,6.365827918131117e-07,6.365827918131117e-07,16563.222234719608,0.0
cql_adaptive_safety,compound_extreme,2.531345089096249e-07,2.531345089096249e-07,25173.275077037477,0.0
cql_adaptive_safety,in_distribution,0.0,0.0,14050.04852824272,0.0
cql_adaptive_safety,load_up_20,2.837223647134124e-07,2.837223647134124e-07,17546.930255949417,0.0
cql_adaptive_safety,price_spike_low_renewable,0.0,0.0,42448.064370483735,0.0
cql_adaptive_safety,shoulder_season,0.0,0.0,21292.708939374115,0.0
cql_adaptive_safety,summer_peak,0.0,0.0,22014.366657063732,0.0
cql_adaptive_safety,three_day_low_renewable,0.0,0.0,30123.662694054612,0.0
cql_adaptive_safety,warm_low_solar_zone,0.0,0.0,23620.396026403556,0.0
cql_adaptive_safety,year_2017_winter,0.0,0.0,30349.126945780237,0.0
cql_adaptive_safety,year_2018_winter,0.0,0.0,21288.021738662337,0.0
cql_adaptive_safety,year_2019_winter,0.0,0.0,21220.86772523871,0.0
cql_fixed_safety,cold_wave_extreme,2.715682221321458e-07,2.715682221321458e-07,16976.645276257743,0.0
cql_fixed_safety,compound_extreme,8.290973951829984e-08,8.290973951829984e-08,25649.35437622734,0.0
cql_fixed_safety,in_distribution,0.0,0.0,14233.469768053255,0.0
cql_fixed_safety,load_up_20,3.117435340982411e-07,3.117435340982411e-07,18361.25332889378,0.0
cql_ood_warning,cold_wave_extreme,58.798836587056094,58.798836587056094,485180.39081796975,1.0
cql_ood_warning,compound_extreme,73.29592317535578,73.29592317535578,608418.6652382533,1.0
cql_ood_warning,in_distribution,2.373213338017352,2.373213338017352,32887.371231047524,0.8
cql_ood_warning,load_up_20,20.086464918297786,20.086464918297786,177352.99103359657,1.0
iql,cold_climate_zone,63.739831063563024,63.739831063563024,531182.4695290357,1.0
iql,cold_wave_device_fault,117.07623094008314,117.07623094008314,964072.0740102226,1.0
iql,cold_wave_extreme,79.16712890787402,79.16712890787402,647069.9098698766,1.0
iql,compound_extreme,96.65916369699596,96.65916369699596,794232.808796599,1.0
iql,in_distribution,12.560390397188929,12.560390397188929,113221.26030889884,0.8
iql,load_up_20,38.77174931260067,38.77174931260067,325985.8423174241,1.0
iql,price_spike_low_renewable,11.327788172710164,11.327788172710164,131464.68457240093,1.0
iql,shoulder_season,0.0,0.0,21382.131671859643,0.0
iql,summer_peak,0.0,0.0,22128.811241142597,0.0
iql,three_day_low_renewable,59.34011937863522,59.34011937863522,501135.62328425597,1.0
iql,warm_low_solar_zone,0.0,0.0,23704.60448281542,0.0
iql,year_2017_winter,60.10189602543843,60.10189602543843,508054.3543334526,1.0
iql,year_2018_winter,32.111215693105365,32.111215693105365,276428.8821250168,1.0
iql,year_2019_winter,9.979195065844277,9.979195065844277,100180.47772289526,1.0
iql_adaptive_safety,cold_climate_zone,0.0,0.0,24312.024563405394,0.0
iql_adaptive_safety,cold_wave_device_fault,2.9852268035313045e-07,2.9852268035313045e-07,32515.7159066495,0.0
iql_adaptive_safety,cold_wave_extreme,3.1508630371490653e-07,3.1508630371490653e-07,17639.832589450267,0.0
iql_adaptive_safety,compound_extreme,6.86826258089468e-07,6.86826258089468e-07,25010.746681625704,0.0
iql_adaptive_safety,in_distribution,0.0,0.0,14423.17655372828,0.0
iql_adaptive_safety,load_up_20,3.6277414849905654e-07,3.6277414849905654e-07,17940.807040097792,0.0
iql_adaptive_safety,price_spike_low_renewable,0.0,0.0,42418.84377232978,0.0
iql_adaptive_safety,shoulder_season,0.0,0.0,21382.131671859643,0.0
iql_adaptive_safety,summer_peak,0.0,0.0,22128.811241142597,0.0
iql_adaptive_safety,three_day_low_renewable,0.0,0.0,29893.981726732825,0.0
iql_adaptive_safety,warm_low_solar_zone,0.0,0.0,23704.60448281542,0.0
iql_adaptive_safety,year_2017_winter,0.0,0.0,30089.844461552555,0.0
iql_adaptive_safety,year_2018_winter,1.5413897536120658e-07,1.5413897536120658e-07,20791.2983656461,0.0
iql_adaptive_safety,year_2019_winter,0.0,0.0,20854.74746558932,0.0
iql_fixed_safety,cold_wave_extreme,2.560545571128614e-07,2.560545571128614e-07,18598.099775553743,0.0
iql_fixed_safety,compound_extreme,1.039307946371082e-07,1.039307946371082e-07,25773.035837611245,0.0
iql_fixed_safety,in_distribution,0.0,0.0,14423.17655372828,0.0
iql_fixed_safety,load_up_20,3.120519913579756e-07,3.120519913579756e-07,18813.124988617797,0.0
iql_ood_warning,cold_wave_extreme,79.16712890787402,79.16712890787402,647069.9098698766,1.0
iql_ood_warning,compound_extreme,96.65916369699596,96.65916369699596,794232.808796599,1.0
iql_ood_warning,in_distribution,12.560390397188929,12.560390397188929,113221.26030889884,0.8
iql_ood_warning,load_up_20,38.77174931260067,38.77174931260067,325985.8423174241,1.0
perfect_information_lp,cold_climate_zone,0.0,0.0,21264.345977541085,0.0
perfect_information_lp,cold_wave_device_fault,0.0,0.0,30618.527182911515,0.0
perfect_information_lp,cold_wave_extreme,0.0,0.0,15025.62696869869,0.0
perfect_information_lp,compound_extreme,0.0,0.0,21975.40179737711,0.0
perfect_information_lp,in_distribution,0.0,0.0,11187.56054652203,0.0
perfect_information_lp,load_up_20,0.0,0.0,14841.636473521176,0.0
perfect_information_lp,price_spike_low_renewable,0.0,0.0,25591.928713497582,0.0
perfect_information_lp,shoulder_season,0.0,0.0,16081.29563380771,0.0
perfect_information_lp,summer_peak,0.0,0.0,16721.79601046558,0.0
perfect_information_lp,three_day_low_renewable,0.0,0.0,26306.657031337163,0.0
perfect_information_lp,warm_low_solar_zone,0.0,0.0,18423.5409762832,0.0
perfect_information_lp,year_2017_winter,0.0,0.0,27152.173779308738,0.0
perfect_information_lp,year_2018_winter,0.0,0.0,18598.824100867903,0.0
perfect_information_lp,year_2019_winter,0.0,0.0,17871.95219935336,0.0
rolling_mpc,cold_climate_zone,8.881784197001252e-16,8.881784197001252e-16,21374.48328859397,0.0
rolling_mpc,cold_wave_device_fault,1.7763568394002505e-15,1.7763568394002505e-15,30618.52718291153,0.0
rolling_mpc,cold_wave_extreme,1.3322676295501878e-14,1.3322676295501878e-14,15402.482731977678,0.0
rolling_mpc,compound_extreme,0.0,0.0,22362.49598376357,0.0
rolling_mpc,in_distribution,7.105427357601002e-15,7.105427357601002e-15,11187.449136123743,0.0
rolling_mpc,load_up_20,5.3290705182007506e-15,5.3290705182007506e-15,14944.931874577996,0.0
rolling_mpc,price_spike_low_renewable,5.329070518200751e-15,5.329070518200751e-15,25623.869755521817,0.0
rolling_mpc,shoulder_season,5.551115123125783e-16,5.551115123125783e-16,16081.295633807713,0.0
rolling_mpc,summer_peak,6.661338147750939e-16,6.661338147750939e-16,16721.796010465587,0.0
rolling_mpc,three_day_low_renewable,0.0,0.0,26573.715818672717,0.0
rolling_mpc,warm_low_solar_zone,3.3306690738754696e-16,3.3306690738754696e-16,18423.53855812407,0.0
rolling_mpc,year_2017_winter,0.0,0.0,27452.691005611792,0.0
rolling_mpc,year_2018_winter,8.881784197001252e-16,8.881784197001252e-16,18584.657149255654,0.0
rolling_mpc,year_2019_winter,3.552713678800501e-15,3.552713678800501e-15,17869.37836269971,0.0
rule_based,cold_climate_zone,0.0,0.0,22530.31522002363,0.0
rule_based,cold_wave_device_fault,0.0,0.0,31693.824410311034,0.0
rule_based,cold_wave_extreme,0.0,0.0,17196.555434418853,0.0
rule_based,compound_extreme,0.0,0.0,23220.99452586129,0.0
rule_based,in_distribution,0.0,0.0,13058.577595908842,0.0
rule_based,load_up_20,0.0,0.0,16655.31700534915,0.0
rule_based,price_spike_low_renewable,0.0,0.0,33469.666212805925,0.0
rule_based,shoulder_season,0.0,0.0,16611.6838005517,0.0
rule_based,summer_peak,0.0,0.0,17104.61946036076,0.0
rule_based,three_day_low_renewable,0.0,0.0,27483.894043098593,0.0
rule_based,warm_low_solar_zone,0.0,0.0,18872.99935412619,0.0
rule_based,year_2017_winter,0.0,0.0,28324.064678544855,0.0
rule_based,year_2018_winter,0.0,0.0,19892.823007887324,0.0
rule_based,year_2019_winter,0.0,0.0,19574.1052205331,0.0
td3_bc,cold_wave_extreme,61.264568283374935,61.264568283374935,505072.5985203389,1.0
td3_bc,compound_extreme,75.72642550494795,75.72642550494795,628012.5528220619,1.0
td3_bc,in_distribution,2.8854066500149127,2.8854066500149127,36766.871056840704,0.8
td3_bc,load_up_20,22.07806368585217,22.07806368585217,193398.43799255835,1.0
